YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 03 10  68  7.5  8.9  2.81 20.00  8.54 343 1011.3  23.8  23.1 999.0 99.0
1999 01 03 11  70  7.0  8.6  2.72 20.00  8.27 344 1010.9  23.7  23.1 999.0 99.0
1999 01 03 12  69  7.2  8.8  2.41 20.00  7.44 341 1010.3  23.7  23.2 999.0 99.0
1999 01 03 13  64  7.4  8.6  2.89 20.00  8.14 346 1009.9  23.5  23.4 999.0 99.0
1999 01 03 14  64  7.2  8.3  2.70 20.00  7.61 347 1009.6  23.5  23.0 999.0 99.0
1999 01 03 15  65  7.1  8.7  3.25 16.67  8.91 340 1009.9  23.5  23.0 999.0 99.0
1999 01 03 16  62  7.0  8.4  2.92 16.67  8.52 340 1010.2  23.5  23.0 999.0 99.0
1999 01 03 17  65  6.6  8.0  2.70 16.67  7.62 343 1010.9  23.6  23.0 999.0 99.0
1999 01 03 18  65  7.2  8.6  2.94 16.67  8.60 343 1011.4  23.8  23.4 999.0 99.0
1999 01 03 19  63  6.7  8.0  3.10 16.67  8.66 343 1011.6  23.8  23.3 999.0 99.0
1999 01 03 20  64  6.2  7.4  3.23 16.67  8.48 343 1011.4  23.8  23.4 999.0 99.0
1999 01 03 21  68  6.1  7.3  3.20 16.67  8.65 347 1010.9  23.8  23.4 999.0 99.0
1999 01 03 22  65  6.5  7.8  2.84 16.67  8.15 351 1010.3  23.8  23.4 999.0 99.0
1999 01 03 23  63  6.7  7.8  3.34 16.67  8.89 349 1009.4  24.1  23.4 999.0 99.0
1999 01 04 00  64  6.9  8.3  2.91 16.67  7.63 341 1008.5  23.8  23.4 999.0 99.0
1999 01 04 01  65  6.3  7.3  3.27 16.67  8.86 338 1007.9  23.8  23.5 999.0 99.0
1999 01 04 02  63  6.3  7.6  3.25 16.67  8.89 345 1007.9  24.2  23.5 999.0 99.0
1999 01 04 03  63  5.8  6.8  3.18 16.67  8.52 345 1008.1  24.2  23.5 999.0 99.0
1999 01 04 04  70  6.0  7.1  2.95 16.67  8.37 344 1008.7  24.1  23.5 999.0 99.0
1999 01 04 05  58  6.5  8.0  3.07 16.67  8.52 348 1009.2  23.9  23.5 999.0 99.0
1999 01 04 06  59  6.5  7.6  2.97 16.67  8.96 346 1009.7  23.8  23.5 999.0 99.0
1999 01 04 07  65  7.0  8.2  3.05 14.29  8.70 340 1010.2  23.8  23.4 999.0 99.0
1999 01 04 08  69  7.2  8.5  2.69 16.67  8.01 349 1010.5  23.8  23.5 999.0 99.0
1999 01 04 09  66  6.9  8.5  2.55 14.29  7.86 345 1010.4  23.8  23.5 999.0 99.0
1999 01 04 10  68  8.2  9.8  2.59 14.29  7.52 343 1010.1  23.8  23.5 999.0 99.0
1999 01 04 11  74  7.5  9.1  2.85 16.67  7.83 346 1009.8  23.8  23.5 999.0 99.0
1999 01 04 12  72  7.4  9.0  3.03 16.67  8.46 349 1009.3  23.8  23.5 999.0 99.0
1999 01 04 13  73  7.5  9.3  2.66 14.29  7.55 351 1008.7  23.8  23.5 999.0 99.0
1999 01 04 14  65  7.1  8.4  2.94 16.67  8.21 346 1008.7  23.8  23.5 999.0 99.0
1999 01 04 15  68  6.8  8.2  3.25 16.67  8.83 345 1008.8  23.7  23.5 999.0 99.0
1999 01 04 16  64  7.1  8.4  3.17 16.67  8.71 341 1009.2  23.7  23.5 999.0 99.0
