YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 03 17 02 999  0.0  0.0  1.49 14.29  8.42 329 1009.5 999.0  28.4 999.0 99.0 99.00
2003 03 17 03 999  0.0  0.0  1.81 14.29  9.73 335 1009.6 999.0  28.4 999.0 99.0 99.00
2003 03 17 04 999  0.0  0.0  1.59 14.29  9.14 331 1010.1 999.0  28.2 999.0 99.0 99.00
2003 03 17 05 999  0.0  0.0  1.65 12.50  8.99 325 1011.0 999.0  28.2 999.0 99.0 99.00
2003 03 17 06 999  0.0  0.0  1.60 12.50  8.55 325 1012.0 999.0  28.2 999.0 99.0 99.00
2003 03 17 07 999  0.0  0.0  1.55 12.50  8.44 318 1013.3 999.0  27.6 999.0 99.0 99.00
2003 03 17 08 999  0.0  0.0  1.51 12.50  8.26 334 1013.5 999.0  28.1 999.0 99.0 99.00
2003 03 17 09 999  0.0  0.0  1.71 12.50  8.87 309 1013.7 999.0  28.1 999.0 99.0 99.00
2003 03 17 10 999  0.0  0.0  1.67 12.50  8.42 311 1012.7 999.0  28.1 999.0 99.0 99.00
2003 03 17 11 999  0.0  0.0  1.69 14.29  8.53 320 1011.9 999.0  28.1 999.0 99.0 99.00
2003 03 17 12 999  0.0  0.0  1.67 12.50  8.03 284 1011.1 999.0  27.9 999.0 99.0 99.00
2003 03 17 13 999  0.0  0.0  1.67 12.50  8.30 315 1010.9 999.0  27.7 999.0 99.0 99.00
2003 03 17 14 999  0.0  0.0  1.56 12.50  8.30 312 1010.9 999.0  27.7 999.0 99.0 99.00
2003 03 17 15 999 99.0 99.0  1.57 12.50  7.86 297 1011.3 999.0  28.1 999.0 99.0 99.00
2003 03 17 16 999 99.0 99.0  1.55 12.50  7.60 293 1011.7 999.0  28.1 999.0 99.0 99.00
2003 03 17 17 999 99.0 99.0  1.54 12.50  7.44 302 1012.2 999.0  28.1 999.0 99.0 99.00
2003 03 17 18 999 99.0 99.0  1.51 12.50  7.12 315 1012.7 999.0  28.1 999.0 99.0 99.00
2003 03 17 19 999 99.0 99.0  1.56 12.50  7.14 329 1013.5 999.0  28.1 999.0 99.0 99.00
2003 03 17 20 999 99.0 99.0  1.59 12.50  6.92 319 1013.5 999.0  28.1 999.0 99.0 99.00
2003 03 17 21 999 99.0 99.0  1.70 12.50  7.33 313 1013.1 999.0  28.1 999.0 99.0 99.00
2003 03 17 22 999 99.0 99.0  1.63 12.50  7.10 306 1012.7 999.0  28.2 999.0 99.0 99.00
2003 03 17 23 999 99.0 99.0  1.74 12.50  7.68 303 1012.5 999.0  28.4 999.0 99.0 99.00
2003 03 18 00 999 99.0 99.0  1.51 11.11  7.29 211 1011.9 999.0  28.2 999.0 99.0 99.00
2003 03 18 01 999 99.0 99.0  1.69 12.50  8.54 310 1011.4 999.0  28.2 999.0 99.0 99.00
2003 03 18 02 999 99.0 99.0  1.53 14.29  8.86 270 1011.2 999.0  28.2 999.0 99.0 99.00
2003 03 18 03 999 99.0 99.0  1.64 12.50  8.25 316 1011.1 999.0  28.1 999.0 99.0 99.00
2003 03 18 04 999 99.0 99.0  1.49 12.50  7.46 301 1011.1 999.0  28.1 999.0 99.0 99.00
2003 03 18 05 999 99.0 99.0  1.63 14.29  7.93 240 1011.5 999.0  28.1 999.0 99.0 99.00
2003 03 18 06 999 99.0 99.0  1.69 14.29  8.06 235 1011.9 999.0  28.1 999.0 99.0 99.00
2003 03 18 07 999 99.0 99.0  1.63 14.29  7.70 203 1012.4 999.0  27.7 999.0 99.0 99.00
2003 03 18 08 999 99.0 99.0  1.79 14.29  8.04 216 1012.6 999.0  27.7 999.0 99.0 99.00
2003 03 18 09 999 99.0 99.0  1.86 14.29  8.10 213 1012.6 999.0  27.7 999.0 99.0 99.00
2003 03 18 10 999 99.0 99.0  1.81 14.29  7.79 222 1011.9 999.0  27.7 999.0 99.0 99.00
2003 03 18 11 999 99.0 99.0  2.00 14.29  7.51 211 1011.2 999.0  27.7 999.0 99.0 99.00
2003 03 18 12 999 99.0 99.0  2.09 14.29  7.51 208 1010.3 999.0  27.7 999.0 99.0 99.00
2003 03 18 13 999 99.0 99.0  2.09 14.29  7.69 201 1009.6 999.0  27.7 999.0 99.0 99.00
2003 03 18 14 999 99.0 99.0  2.32 14.29  7.94 205 1009.3 999.0  27.7 999.0 99.0 99.00
2003 03 18 15 999 99.0 99.0  1.92 12.50  7.19 234 1009.2 999.0  27.7 999.0 99.0 99.00
2003 03 18 16 999 99.0 99.0  2.07 14.29  7.60 205 1009.5 999.0  27.7 999.0 99.0 99.00
2003 03 18 17 999 99.0 99.0  2.14 14.29  7.36 208 1010.1 999.0  27.7 999.0 99.0 99.00
