YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 10 31 19 304   .7  1.6  2.01  8.33  7.94  42 1011.0  29.0  29.3 999.0 99.0
97 10 31 20 262   .3  1.1  2.02 14.29  8.34 323 1011.1  29.7  29.9 999.0 99.0
97 10 31 21 222   .9  2.0  2.01 14.29  8.33 308 1010.9  30.0  30.0 999.0 99.0
97 10 31 22 216   .6  1.7  2.04 14.29  8.46 320 1010.0  29.7  30.6 999.0 99.0
97 10 31 23 220  1.3  2.2  1.97  9.09  8.20  47 1009.4  29.7  30.9 999.0 99.0
97 11 01 00 208  1.4  2.6  1.97 14.29  8.23 315 1008.6  29.8  31.3 999.0 99.0
97 11 01 01 211  2.2  4.5  1.99 14.29  8.39 317 1008.1  29.8  31.0 999.0 99.0
97 11 01 02 246  8.7 10.1  1.96 12.50  8.15 282 1007.8  27.1  30.0 999.0 99.0
97 11 01 03 241  8.2  9.9  1.96  8.33  6.92  46 1008.2  26.8  29.5 999.0 99.0
97 11 01 04 245  4.9  6.1  2.12 14.29  6.69 316 1008.8  26.9  29.2 999.0 99.0
97 11 01 05 258  4.8  6.1  1.99  9.09  6.68  61 1009.7  27.4  29.2 999.0 99.0
97 11 01 06 223  2.8  3.6  1.85 14.29  6.78 317 1010.3  27.4  29.2 999.0 99.0
97 11 01 07 238   .6  1.3  1.92  9.09  7.26  66 1011.3  27.6  29.2 999.0 99.0
97 11 01 08 275   .3  1.2  1.88 12.50  6.91 292 1011.2  27.6  29.2 999.0 99.0
97 11 01 09  43   .8  2.0  1.86  9.09  6.83  49 1011.9  27.4  29.2 999.0 99.0
97 11 01 10 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 11 01 11 177   .4  1.2  1.88  9.09  7.28  68 1010.4  27.4  29.2 999.0 99.0
97 11 01 12 999 99.0 99.0  1.86  8.33  7.06  66 1009.5  27.4  29.2 999.0 99.0
97 11 01 13 220  3.4  4.4 99.00 99.00 99.00 999 1008.9  27.7  29.2 999.0 99.0
97 11 01 14 177  4.5  6.8  1.81  9.09  6.96  62 1008.8  27.6  29.2 999.0 99.0
97 11 01 15 220  7.5  8.9 99.00 99.00 99.00 999 1009.4  27.2  29.2 999.0 99.0
97 11 01 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 11 01 17 258  5.7  7.1  2.04 10.00  6.08  88 1010.3  27.3  29.2 999.0 99.0
97 11 01 18 254  6.2  7.2  1.91  9.09  6.36  76 1011.1  27.7  29.2 999.0 99.0
97 11 01 19 237  6.7  8.7  1.93  9.09  6.14  86 1011.9  28.2  29.2 999.0 99.0
97 11 01 20 229  5.0  6.2  1.89 10.00  5.94  71 1011.9  28.2  29.2 999.0 99.0
97 11 01 21 235  6.8  8.0  1.89  9.09  6.36  81 1011.5  28.5  29.2 999.0 99.0
97 11 01 22 222  5.5  6.9  1.85 10.00  6.33  82 1010.3  28.5  29.2 999.0 99.0
97 11 01 23 243  3.7  4.7  1.88 10.00  6.50  67 1009.4  28.4  29.7 999.0 99.0
97 11 02 00 279  3.8  4.7  1.79 10.00  6.45  49 1008.1  28.7  29.7 999.0 99.0
97 11 02 01 289  3.3  5.0  1.77 10.00  6.68  72 1007.9  29.0  29.8 999.0 99.0
97 11 02 02 249  4.4  5.3  1.74  9.09  6.74  92 1007.9  29.2  29.8 999.0 99.0
97 11 02 03 247  4.0  5.0  1.80  9.09  6.73  64 1008.6  29.2  29.7 999.0 99.0
97 11 02 04 268  3.7  4.7  1.84  9.09  6.84  86 1009.1  29.2  29.6 999.0 99.0
97 11 02 05 263  3.5  4.5  1.73 10.00  6.72  83 1009.6  28.9  29.3 999.0 99.0
97 11 02 06 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 11 02 07 252  3.6  4.4  2.01  9.09  6.94  96 1011.1  28.9  29.2 999.0 99.0
97 11 02 08 257  4.2  5.6  1.79  9.09  6.89 125 1011.7  29.0  29.2 999.0 99.0
97 11 02 09 264  3.6  4.6  1.81  9.09  7.07  69 1011.8  29.0  29.2 999.0 99.0
97 11 02 10 258  3.5  4.3  1.72 10.00  7.13  67 1011.7  29.0  29.2 999.0 99.0
97 11 02 11 256  3.7  5.0  1.90  9.09  7.66   7 1011.1  29.0  29.2 999.0 99.0
97 11 02 12 257  4.2  5.3  2.04 10.00  7.94  95 1010.3  28.9  29.2 999.0 99.0
97 11 02 13 259  3.0  3.7  1.81  9.09  7.63  51 1009.8  28.7  29.2 999.0 99.0
97 11 02 14 259  2.1  2.9  1.88  9.09  7.84  49 1009.5  28.5  29.2 999.0 99.0
97 11 02 15 254   .7  1.4  1.78  9.09  7.63  83 1009.6  28.4  29.2 999.0 99.0
97 11 02 16 304   .6  1.1  1.80  9.09  7.50  67 1010.1  28.4  29.2 999.0 99.0
97 11 02 17 346  2.0  2.9  1.95  9.09  7.35  80 1011.0  28.5  29.2 999.0 99.0
97 11 02 18 312  1.7  2.6 99.00 99.00 99.00 999 1011.9  28.9  29.2 999.0 99.0
97 11 02 19 322  2.0  2.7  2.07 10.00  7.33 168 1012.3  29.0  29.2 999.0 99.0
97 11 02 20  11  1.6  2.6  2.04  9.09  7.23  80 1012.5  29.7  29.7 999.0 99.0
97 11 02 21   4  2.0  3.1  2.27 10.00  7.80 208 1011.9  29.2  29.7 999.0 99.0
97 11 02 22 360  2.1  3.2  2.11 10.00  8.03 174 1011.0  29.2  29.7 999.0 99.0
97 11 02 23 341  1.6  2.8 99.00 99.00 99.00 999 1010.1  29.3  30.0 999.0 99.0
97 11 03 00 333  2.1  3.4  2.10 10.00  8.09 209 1009.1  29.2  29.9 999.0 99.0
97 11 03 01 295  2.0  2.9  2.12 10.00  8.05 170 1008.4  29.3  30.0 999.0 99.0
97 11 03 02 291  1.3  2.4  2.46 12.50  8.49 213 1008.0  29.7  30.5 999.0 99.0
97 11 03 03 275  2.6  3.9  2.29  9.09  8.52 209 1008.7  29.6  30.0 999.0 99.0
97 11 03 04 342  1.1  2.1  2.64 11.11  8.83 223 1008.7  29.2  29.9 999.0 99.0
97 11 03 05 289  2.3  3.0  2.27 10.00  8.17 174 1009.5  29.2  29.9 999.0 99.0
97 11 03 06 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 11 03 07 291  2.3  3.4  2.20 11.11  8.12 220 1011.1  29.0  29.7 999.0 99.0
97 11 03 08 269  2.0  2.7  2.23 12.50  8.45 224 1011.8  29.0  29.7 999.0 99.0
97 11 03 09 289  1.1  1.8  2.31 11.11  8.66 222 1011.8  29.0  29.7 999.0 99.0
97 11 03 10 320   .9  1.7 99.00 99.00 99.00 999 1011.8  29.0  29.7 999.0 99.0
97 11 03 11 265   .7  1.5  2.42 12.50  9.19 220 1011.7  28.9  29.2 999.0 99.0
97 11 03 12 350   .2   .9  2.21 12.50  8.67 227 1011.0  28.5  29.7 999.0 99.0
97 11 03 13 305   .2   .8  2.27 11.11  8.83 234 1010.3  28.5  29.2 999.0 99.0
97 11 03 14 214   .6  1.4  2.27 12.50  8.95 229 1010.2  28.4  29.2 999.0 99.0
97 11 03 15 230   .7  1.5  1.91 14.29  8.21 313 1010.3  28.4  29.2 999.0 99.0
97 11 03 16  50   .4  1.0  2.16 12.50  8.77 243 1011.0  28.4  29.2 999.0 99.0
97 11 03 17   6   .2   .9  2.12 12.50  8.78 232 1011.2  29.1  29.2 999.0 99.0
97 11 03 18  49   .3  1.1  2.29 12.50  8.85 244 1011.9  29.7  29.2 999.0 99.0
97 11 03 19 285   .7  1.5  2.22 12.50  8.56 235 1012.5  29.2  29.7 999.0 99.0
97 11 03 20 309  1.1  1.8  2.09 12.50  8.78 245 1012.5  29.2  30.2 999.0 99.0
97 11 03 21 270   .7  1.8  1.96 14.29  8.86 313 1011.9  29.5  30.7 999.0 99.0
97 11 03 22 277  1.1  2.0  2.19 11.11  8.91 213 1011.1  29.5  31.2 999.0 99.0
97 11 03 23 263  1.8  2.6  2.00 12.50  9.06 263 1010.3  29.7  31.6 999.0 99.0
97 11 04 00 249  1.8  2.9  1.94 12.50  8.90 253 1009.8  29.9  32.2 999.0 99.0
97 11 04 01 250  1.3  2.5  1.96 11.11  8.60 223 1009.4  30.0  31.8 999.0 99.0
97 11 04 02 241  1.8  3.0  1.93 12.50  8.60 273 1009.2  30.5  32.0 999.0 99.0
97 11 04 03 237  1.3  2.3  1.90 11.11  8.42 230 1009.5  30.5  31.6 999.0 99.0
97 11 04 04 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 11 04 05 166  3.4  4.1  1.95 10.00  8.45  76 1011.0  28.4  30.3 999.0 99.0
97 11 04 06 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 11 04 07 217  1.4  2.1  2.02 10.00  8.43  58 1012.5  29.0  30.2 999.0 99.0
97 11 04 08 255  2.0  2.9  1.91 12.50  8.46 269 1012.7  29.2  30.0 999.0 99.0
97 11 04 09 215  1.7  2.6  2.00  9.09  8.56 137 1012.7  29.2  30.0 999.0 99.0
97 11 04 10 243  1.9  2.6  1.89 10.00  8.74 130 1012.6  29.2  29.9 999.0 99.0
97 11 04 11 263  1.7  2.4  2.02 12.50  8.55 274 1011.9  29.0  29.7 999.0 99.0
97 11 04 12 271  2.4  3.1  2.09  9.09  8.68  62 1011.3  29.0  29.7 999.0 99.0
97 11 04 13 273  2.7  3.4  1.99 10.00  8.50  68 1011.1  28.9  29.7 999.0 99.0
97 11 04 14 275  2.8  3.5  2.06 11.11  8.81 217 1011.0  28.9  29.7 999.0 99.0
97 11 04 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 11 04 16 286  2.0  2.8  1.91 11.11  8.24 232 1011.7  28.5  29.4 999.0 99.0
97 11 04 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 11 04 18 249  1.3  2.7  2.16 10.00  8.43 192 1012.7  28.6  29.7 999.0 99.0
97 11 04 19 253  2.1  3.1  1.88 14.29  8.54 200 1012.9  29.0  29.7 999.0 99.0
97 11 04 20 243  1.5  2.4  1.82 10.00  8.04 199 1013.4  29.2  29.9 999.0 99.0
97 11 04 21 261  1.3  2.6  1.99  9.09  8.46  62 1013.4  29.4  30.7 999.0 99.0
97 11 04 22 255  1.6  2.9  2.05 10.00  8.38 183 1012.7  29.7  31.1 999.0 99.0
97 11 04 23 219  2.2  3.6  1.85 11.11  8.67 279 1011.8  29.0  30.9 999.0 99.0
97 11 05 00 252  2.0  3.1  1.94 12.50  8.68 270 1011.2  29.7  31.2 999.0 99.0
97 11 05 01 243  3.0  3.7  1.70 12.50  8.31 285 1010.9  29.7  31.2 999.0 99.0
97 11 05 02 246  1.9  2.8  2.00 12.50  8.80 250 1011.1  29.8  30.9 999.0 99.0
97 11 05 03 264  2.1  3.0  2.09 12.50  8.48 248 1011.7  29.7  30.8 999.0 99.0
97 11 05 04 194   .8  1.7  1.91 12.50  8.48 262 1011.9  28.5  30.5 999.0 99.0
97 11 05 05 237  2.6  3.5  2.11 12.50  8.72 289 1012.5  29.2  30.0 999.0 99.0
97 11 05 06 197  2.4  3.5  2.13 12.50  8.43 279 1013.2  29.2  30.0 999.0 99.0
97 11 05 07 192  3.1  4.4  2.13 12.50  9.08 253 1013.6  29.2  30.0 999.0 99.0
97 11 05 08 201  3.3  4.2  1.88 12.50  8.61 265 1013.5  29.2  29.9 999.0 99.0
97 11 05 09 203  4.3  5.2  2.00 12.50  9.15 229 1013.3  29.2  29.9 999.0 99.0
97 11 05 10 192  4.5  5.8  1.83 11.11  8.78 307 1013.2  29.2  29.8 999.0 99.0
97 11 05 11 198  5.5  6.6 99.00 99.00 99.00 999 1011.9  29.2  29.7 999.0 99.0
97 11 05 12 204  5.1  6.3  1.91 12.50  8.97 292 1011.2  29.0  29.7 999.0 99.0
97 11 05 13 205  5.4  6.4  1.85 11.11  8.55 319 1010.8  29.0  29.7 999.0 99.0
97 11 05 14 204  4.6  5.4  1.82 12.50  8.44 248 1010.8  28.9  29.7 999.0 99.0
97 11 05 15 209  3.5  4.4  2.04 12.50  8.10 237 1011.1  28.5  29.3 999.0 99.0
97 11 05 16 227  3.2  4.4  1.80 11.11  8.04 336 1011.5  28.9  29.2 999.0 99.0
97 11 05 17 211  2.5  3.2  1.94 11.11  8.32 321 1012.1  28.9  29.2 999.0 99.0
97 11 05 18 232  2.6  3.5  1.93 12.50  8.44 271 1013.3  29.0  29.2 999.0 99.0
97 11 05 19 234  2.6  3.4  1.92 11.11  8.41 319 1013.4  29.2  29.6 999.0 99.0
97 11 05 20 281  1.9  2.7  1.92 11.11  8.33 313 1013.5  29.2  29.7 999.0 99.0
97 11 05 21 299  2.2  3.5  2.02 11.11  8.39 320 1013.3  29.7  29.9 999.0 99.0
97 11 05 22 273  2.8  3.5  1.71 11.11  7.88 313 1012.6  29.7  30.0 999.0 99.0
97 11 05 23 272  2.5  3.7  1.81 11.11  8.06 318 1012.0  29.7  30.0 999.0 99.0
97 11 06 00 275  3.2  4.3  2.03 11.11  8.50 318 1011.7  29.7  30.0 999.0 99.0
97 11 06 01 286  3.7  4.6  1.86 11.11  8.04 334 1011.0  29.7  30.0 999.0 99.0
97 11 06 02 290  5.4  6.2  1.83  9.09  8.22   7 1011.2  29.7  30.0 999.0 99.0
97 11 06 03 297  5.7  6.7  1.91  9.09  8.51  15 1011.7  29.4  29.8 999.0 99.0
97 11 06 04 320  5.7  6.9  1.77 11.11  8.18 338 1011.8  28.4  29.7 999.0 99.0
97 11 06 05 325  4.6  6.0  1.77 12.50  7.85 188 1012.0  28.1  29.7 999.0 99.0
97 11 06 06 301  3.6  4.4  1.91 11.11  7.88 330 1012.5  28.2  29.7 999.0 99.0
97 11 06 07 251  2.5  3.2  1.89 12.50  7.81 184 1012.6  28.2  29.7 999.0 99.0
97 11 06 08 223  3.0  4.4  2.13 12.50  8.02 181 1012.5  28.2  29.6 999.0 99.0
97 11 06 09 211  3.7  4.9  2.18 11.11  8.25 285 1012.2  28.4  29.4 999.0 99.0
97 11 06 10 212  4.7  5.9  2.02 12.50  8.55 189 1012.5  28.9  29.6 999.0 99.0
