#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 03 03 00  79  8.3  9.7  2.06 10.81  5.82  61 1007.6  24.2  24.2 999.0 99.0 99.00
2008 01 03 04 00  82  7.9  9.6  2.20 10.81  5.83  62 1008.2  24.2  24.1 999.0 99.0 99.00
2008 01 03 05 00  82  8.1  9.5  2.25 10.81  5.78  61 1008.9  24.2  24.1 999.0 99.0 99.00
2008 01 03 06 00  75  8.2  9.4  2.03 10.81  5.54  64 1009.6  24.2  24.1 999.0 99.0 99.00
2008 01 03 07 00  84  8.4 10.2  2.14  7.69  5.53  86 1010.0  24.1  24.0 999.0 99.0 99.00
2008 01 03 08 00  76  8.6 10.7  2.17  8.33  5.79  78 1010.7  24.1  24.0 999.0 99.0 99.00
2008 01 03 09 00  73  7.4  8.8  2.00  8.33  5.42  89 1010.5  24.0  24.0 999.0 99.0 99.00
2008 01 03 10 00  75  7.8  9.1  2.09 10.81  5.61  59 1010.1  23.9  24.0 999.0 99.0 99.00
2008 01 03 11 00  74  7.8  9.1  2.05 11.43  5.82  63 1009.1  23.9  23.9 999.0 99.0 99.00
2008 01 03 12 00  70  7.8  9.1  2.13 10.00  5.77  66 1008.4  23.8  23.9 999.0 99.0 99.00
2008 01 03 13 00  71  7.7  8.9  2.13 10.81  5.93  56 1008.2  23.7  23.9 999.0 99.0 99.00
2008 01 03 14 00  68  8.0  9.4  2.25 10.00  6.00  61 1008.1  23.7  23.9 999.0 99.0 99.00
2008 01 03 15 00  74  8.2  9.7  2.14 10.81  5.79  59 1008.2  23.9  23.8 999.0 99.0 99.00
2008 01 03 16 00  76  9.4 11.0  2.26 10.81  5.66  51 1008.9  24.0  23.8 999.0 99.0 99.00
2008 01 03 17 00  81  8.6 10.6  2.27  8.33  5.57  69 1009.4  24.0  23.8 999.0 99.0 99.00
2008 01 03 18 00  81  8.9 10.4  2.25 10.81  5.54  64 1010.5  24.1  23.8 999.0 99.0 99.00
2008 01 03 19 00  78  8.8 10.4  2.30 10.00  5.61  60 1010.9  24.1  23.8 999.0 99.0 99.00
2008 01 03 20 00  81  8.4  9.8  2.18 10.00  5.66  58 1010.9  24.1  23.8 999.0 99.0 99.00
2008 01 03 21 00  79  9.0 10.5  2.08  9.09  5.50  56 1010.5  24.1  23.8 999.0 99.0 99.00
